# experiment=prueba1
# started_at=2026-03-06T15:46:13
# port=COM5
# baud=115200
t_ms,temp_C
157972,110.50
158472,111.00
158972,111.25
159472,111.25
159972,112.00
160472,112.50
160972,113.25
161472,113.50
161972,113.75
162472,114.25
162972,114.50
163472,115.00
163972,114.75
164472,115.75
164972,115.50
165472,116.25
165972,116.75
166472,117.00
166972,117.25
167472,117.50
167972,118.00
168472,118.75
168972,119.25
169472,119.50
169972,120.00
170472,120.00
170972,120.50
171472,120.75
171972,120.75
172472,121.50
172972,121.75
173472,122.50
173972,122.75
174472,123.00
174972,123.00
175472,123.50
175972,124.25
176472,124.25
176972,125.00
177472,125.25
177972,125.50
178472,125.75
178972,126.25
179472,126.25
179972,127.00
180472,127.75
180972,127.75
181472,127.75
181972,128.25
182472,128.50
182972,129.00
183472,129.25
183972,129.75
184472,130.00
184972,130.25
185472,130.50
185972,130.75
186472,130.75
186972,131.25
187472,132.00
187972,132.00
188472,132.25
188972,132.75
189472,133.00
189972,133.25
190472,133.25
190972,134.00
191472,134.00
191972,134.50
192472,134.25
192972,134.75
193472,135.25
193972,135.25
194472,135.75
194972,136.00
195472,136.25
195972,136.50
196472,136.50
196972,136.75
197472,137.50
197972,137.75
198472,137.75
198972,138.25
199472,138.25
199972,139.00
200472,139.00
200972,139.25
201472,139.50
201972,139.75
202472,139.50
202972,140.25
203472,140.50
203972,140.75
204472,141.25
204972,141.50
205472,141.50
205972,142.00
206472,142.25
206972,142.75
207472,143.00
207972,143.00
208472,143.25
208972,143.50
209472,143.75
209972,144.25
210472,144.75
210972,144.75
211472,145.00
211972,145.50
212472,145.00
212972,146.00
213472,146.50
213972,146.50
214472,147.00
214972,146.25
215472,147.25
215972,147.75
216472,147.50
216972,148.50
217472,148.00
217972,148.75
218472,149.25
218972,149.00
219472,150.00
219972,149.75
220472,150.50
220972,150.75
221472,150.75
221972,151.25
222472,151.50
222972,151.50
223472,152.00
223972,152.50
224472,153.00
224972,153.00
225472,153.50
225972,153.50
226472,153.75
226972,154.00
227472,154.50
227972,154.75
228472,155.00
228972,155.25
229472,155.50
229972,155.50
230472,156.25
230972,156.25
231472,156.75
231972,157.25
232472,157.00
232972,157.75
233472,158.00
233972,158.50
234472,158.50
234972,158.50
235472,159.25
235972,159.00
236472,159.50
236972,159.75
237472,160.25
237972,161.00
238472,161.25
238972,160.75
239472,161.75
239972,161.75
240472,162.25
240972,162.50
241472,162.50
241972,162.25
242472,163.00
242972,163.50
243472,164.00
243972,163.75
244472,164.00
244972,164.75
245472,164.75
245972,165.25
246472,165.00
246972,165.25
247472,165.50
247972,166.00
248472,166.25
248972,166.50
249472,166.50
249972,167.00
250472,166.75
250972,167.50
251472,167.75
251972,167.50
252472,168.00
252972,167.75
253472,168.25
253972,168.50
254472,168.00
254972,168.75
255472,169.00
255972,168.75
256472,169.25
256972,169.25
257472,169.25
257972,169.25
258472,170.00
258972,170.00
259472,169.75
259972,170.00
260472,170.00
260972,170.25
261472,170.75
261972,171.25
262472,171.00
262972,171.25
263472,171.00
263972,171.50
264472,171.25
264972,171.50
265472,171.75
265972,171.75
266472,171.75
266972,171.75
267472,172.00
267972,172.00
268472,172.00
268972,172.25
269472,172.25
269972,172.25
270472,172.25
270972,172.75
271472,172.75
271972,172.50
272472,172.75
272972,172.75
273472,173.00
273972,172.75
274472,172.25
274972,173.00
275472,173.25
275972,173.00
276472,173.50
276972,173.00
277472,173.75
277972,173.50
278472,173.25
278972,173.75
279472,173.50
279972,174.00
280472,173.75
280972,173.75
281472,174.00
281972,174.25
282472,173.75
282972,174.00
283472,174.00
283972,174.25
284472,174.50
284972,174.00
285472,174.50
285972,174.00
286472,175.00
286972,174.75
287472,174.75
287972,175.25
288472,175.25
288972,175.00
289472,175.50
289972,175.25
