# experiment=perfil_1
# started_at=2026-03-04T11:10:49
# port=COM4
# baud=115200
t_ms,temp_C
325094,28.50,28.70
325594,28.75,28.71
326094,28.75,28.71
326594,28.75,28.71
327094,28.50,28.69
327594,28.75,28.70
328094,28.75,28.70
328594,28.75,28.71
329094,28.50,28.69
329594,29.00,28.72
330094,28.50,28.70
330594,28.25,28.65
331094,28.25,28.61
331594,28.75,28.63
332094,28.75,28.64
332594,28.25,28.60
333094,28.75,28.61
333594,28.25,28.58
334094,28.50,28.57
334594,28.25,28.54
335094,29.00,28.58
335594,28.75,28.60
336094,28.50,28.59
336594,28.25,28.56
337094,28.50,28.55
337594,28.50,28.55
338094,28.00,28.49
338594,28.25,28.47
339094,28.75,28.50
339594,28.25,28.47
340094,28.50,28.47
340594,28.00,28.43
341094,28.50,28.43
341594,28.50,28.44
342094,28.50,28.45
342594,28.50,28.45
343094,28.50,28.46
343594,28.75,28.49
344094,28.75,28.51
344594,28.50,28.51
345094,29.00,28.56
345594,28.25,28.53
346094,28.50,28.53
346594,28.00,28.47
347094,28.50,28.48
347594,28.50,28.48
348094,28.75,28.51
348594,28.00,28.46
349094,28.25,28.43
349594,29.00,28.49
350094,28.25,28.47
350594,28.75,28.50
351094,28.00,28.45
351594,28.25,28.43
352094,28.50,28.43
352594,28.50,28.44
353094,28.50,28.45
353594,29.00,28.50
354094,28.50,28.50
354594,28.75,28.53
355094,28.50,28.52
355594,28.75,28.55
356094,28.75,28.57
356594,28.50,28.56
357094,28.75,28.58
357594,28.75,28.60
358094,28.50,28.59
358594,28.50,28.58
359094,28.50,28.57
359594,28.75,28.59
360094,28.50,28.58
360594,28.25,28.55
361094,28.50,28.54
361594,28.50,28.54
362094,28.50,28.53
362594,28.00,28.48
363094,28.50,28.48
363594,28.50,28.48
364094,28.25,28.46
364594,28.25,28.44
365094,28.50,28.45
365594,28.75,28.48
366094,28.25,28.45
366594,28.50,28.46
367094,28.50,28.46
367594,28.25,28.44
368094,28.00,28.40
368594,28.75,28.43
369094,29.00,28.49
369594,28.75,28.52
370094,28.50,28.51
370594,28.50,28.51
371094,28.50,28.51
371594,28.00,28.46
372094,28.25,28.44
372594,28.25,28.42
373094,28.00,28.38
373594,28.25,28.37
374094,28.75,28.40
374594,28.50,28.41
375094,28.00,28.37
375594,28.75,28.41
376094,28.25,28.39
376594,28.00,28.35
377094,28.25,28.34
377594,28.50,28.36
378094,28.25,28.35
378594,28.50,28.36
379094,28.50,28.38
379594,28.50,28.39
380094,28.75,28.43
380594,28.75,28.46
381094,28.25,28.44
381594,28.75,28.47
382094,28.50,28.47
382594,28.75,28.50
383094,28.25,28.47
383594,28.25,28.45
384094,28.50,28.46
384594,28.25,28.44
385094,28.50,28.44
385594,28.50,28.45
386094,28.25,28.43
386594,28.25,28.41
387094,28.50,28.42
387594,28.50,28.43
388094,28.50,28.43
388594,27.75,28.37
389094,28.50,28.38
389594,28.50,28.39
390094,28.25,28.38
390594,28.25,28.36
391094,28.25,28.35
391594,28.50,28.37
392094,28.25,28.36
392594,28.25,28.35
393094,28.00,28.31
393594,28.50,28.33
394094,28.25,28.32
394594,28.50,28.34
395094,28.25,28.33
395594,28.25,28.32
396094,28.75,28.37
396594,28.50,28.38
397094,28.00,28.34
397594,28.75,28.38
398094,28.25,28.37
398594,28.00,28.33
399094,28.00,28.30
399594,28.50,28.32
400094,28.25,28.31
400594,28.25,28.31
401094,28.50,28.33
401594,28.00,28.29
402094,28.25,28.29
402594,28.25,28.28
403094,27.75,28.23
403594,28.50,28.26
404094,28.00,28.23
404594,28.00,28.21
405094,27.75,28.16
405594,28.50,28.20
406094,28.25,28.20
406594,28.25,28.21
407094,28.50,28.24
407594,28.50,28.26
408094,28.25,28.26
408594,28.00,28.24
409094,28.50,28.26
409594,28.50,28.29
410094,28.25,28.28
410594,28.75,28.33
411094,28.00,28.30
411594,28.25,28.29
412094,28.25,28.29
412594,28.50,28.31
413094,28.50,28.33
413594,28.00,28.29
414094,28.50,28.32
414594,28.50,28.33
415094,28.00,28.30
415594,27.50,28.22
416094,28.50,28.25
416594,28.50,28.27
417094,28.25,28.27
417594,28.50,28.29
418094,28.50,28.31
418594,28.50,28.33
419094,28.25,28.32
419594,28.25,28.32
420094,28.50,28.34
420594,28.00,28.30
421094,28.25,28.30
421594,28.25,28.29
422094,28.50,28.31
422594,28.50,28.33
423094,28.50,28.35
423594,28.25,28.34
424094,28.00,28.30
424594,28.50,28.32
425094,28.00,28.29
425594,28.50,28.31
426094,28.50,28.33
426594,27.75,28.27
427094,28.50,28.30
427594,28.50,28.32
428094,28.50,28.33
428594,28.25,28.33
429094,28.25,28.32
429594,28.25,28.31
430094,28.25,28.31
430594,28.00,28.28
431094,28.25,28.27
431594,28.25,28.27
432094,28.25,28.27
432594,28.50,28.29
433094,28.25,28.29
433594,28.25,28.28
434094,28.25,28.28
434594,28.50,28.30
435094,28.25,28.30
435594,28.00,28.27
436094,28.25,28.27
436594,28.00,28.24
437094,28.00,28.22
437594,28.50,28.24
438094,28.25,28.24
438594,28.25,28.24
439094,28.25,28.25
439594,28.25,28.25
440094,28.25,28.25
440594,28.25,28.25
441094,28.25,28.25
441594,28.25,28.25
442094,28.00,28.22
442594,28.50,28.25
443094,28.50,28.28
443594,28.50,28.30
444094,28.50,28.32
444594,28.25,28.31
445094,28.50,28.33
445594,27.75,28.27
446094,28.25,28.27
446594,27.75,28.22
447094,28.25,28.22
447594,28.50,28.25
448094,28.00,28.22
448594,28.25,28.23
449094,28.25,28.23
449594,28.25,28.23
450094,28.00,28.21
450594,28.25,28.21
451094,28.00,28.19
451594,28.50,28.22
452094,27.75,28.17
452594,28.00,28.16
453094,28.25,28.17
453594,28.00,28.15
454094,28.50,28.18
454594,28.25,28.19
455094,28.50,28.22
455594,28.25,28.23
456094,28.50,28.25
456594,28.50,28.28
457094,28.50,28.30
457594,28.00,28.27
458094,28.50,28.29
458594,28.50,28.31
459094,28.50,28.33
459594,28.25,28.32
460094,28.25,28.32
460594,27.75,28.26
461094,28.50,28.28
461594,28.00,28.26
462094,28.25,28.25
462594,28.50,28.28
463094,28.50,28.30
463594,28.00,28.27
464094,28.25,28.27
464594,28.25,28.27
465094,28.25,28.27
465594,28.25,28.26
466094,28.50,28.29
466594,28.25,28.28
467094,28.25,28.28
467594,28.00,28.25
468094,27.75,28.20
468594,28.25,28.21
469094,28.00,28.19
469594,28.25,28.19
470094,28.25,28.20
470594,28.25,28.20
471094,27.75,28.16
471594,28.00,28.14
472094,28.75,28.20
472594,28.25,28.21
473094,28.25,28.21
473594,28.25,28.22
474094,27.75,28.17
474594,28.75,28.23
475094,28.50,28.25
475594,28.25,28.25
476094,28.25,28.25
476594,28.50,28.28
# finished_at=2026-03-04T11:18:32
