# experiment=Perfil_Prueba_2
# started_at=2026-03-04T11:03:40
# port=COM4
# baud=115200
t_ms,temp_C
365827,31.25
366327,31.00
366827,30.75
367327,31.25
367827,31.50
368327,31.00
368827,31.50
369327,31.00
369827,31.00
370327,30.75
370827,31.00
371327,30.75
371827,31.00
372327,31.25
372827,31.25
373327,31.25
373827,30.75
374327,31.25
374827,31.25
375327,31.25
375827,30.75
376327,31.25
376827,30.75
377327,31.25
377827,31.00
378327,31.00
378827,31.00
379327,31.00
379827,31.25
380327,30.50
380827,31.25
381327,30.75
381827,31.00
382327,31.25
382827,31.00
383327,31.50
383827,31.25
384327,31.00
384827,31.50
385327,31.25
385827,31.25
386327,31.25
386827,30.75
387327,31.00
387827,30.50
388327,31.25
388827,31.25
389327,31.25
389827,31.25
390327,31.00
390827,31.00
391327,31.00
391827,30.50
392327,30.50
392827,31.00
393327,31.00
393827,31.00
394327,30.25
394827,31.50
395327,31.25
395827,31.25
396327,31.50
396827,31.00
397327,31.25
397827,31.00
398327,31.00
398827,30.75
399327,30.75
399827,30.75
400327,31.25
400827,31.00
401327,31.00
401827,30.75
402327,31.00
402827,31.25
403327,30.75
403827,30.75
404327,31.25
404827,31.00
405327,30.75
405827,31.25
406327,31.25
406827,31.25
407327,31.00
407827,31.25
408327,30.75
408827,31.25
409327,31.00
409827,31.25
410327,31.25
410827,31.00
411327,30.75
411827,30.50
412327,31.25
412827,30.75
413327,31.25
413827,31.25
414327,31.50
414827,31.50
415327,30.50
415827,30.75
416327,31.00
416827,31.50
417327,30.75
417827,31.25
418327,30.75
418827,31.00
419327,30.50
419827,31.50
420327,31.25
420827,31.00
421327,31.50
421827,31.25
422327,31.25
422827,31.25
423327,31.00
423827,31.25
424327,30.75
424827,31.25
425327,31.50
425827,31.25
426327,31.00
426827,31.50
427327,31.00
427827,31.25
428327,30.75
428827,31.00
429327,31.50
429827,30.50
430327,31.25
430827,31.25
431327,31.25
431827,31.00
432327,31.25
432827,31.25
433327,31.25
433827,31.25
434327,31.00
434827,31.00
435327,31.50
435827,31.25
436327,30.75
436827,31.25
437327,30.75
437827,31.50
438327,31.25
438827,31.25
439327,31.25
439827,31.25
