# experiment=Perfil_Prueba_1
# started_at=2026-03-04T10:57:48
# port=COM4
# baud=115200
t_ms,temp_C
2485807,30.50
2486307,30.00
2486807,30.50
2487307,29.75
2487807,30.50
2488307,30.00
2488807,30.25
2489307,30.75
t_ms,temp_C
2489721,30.00
2490221,30.50
2490721,30.25
2684634,31.00,31.04
2685134,31.25,31.06
2685634,30.75,31.03
2686134,31.00,31.03
2686634,31.00,31.02
2687134,31.25,31.05
2687634,31.00,31.04
2688134,31.25,31.06
2688634,31.25,31.08
2689134,31.25,31.10
2689634,31.00,31.09
2690134,31.25,31.10
2690634,30.75,31.07
2691134,31.00,31.06
2691634,31.00,31.06
2692134,31.25,31.08
2692634,31.25,31.09
2693134,30.75,31.06
2693634,31.25,31.08
2694134,31.00,31.07
2694634,31.25,31.09
2695134,30.75,31.05
2695634,31.25,31.07
2696134,31.25,31.09
2696634,31.00,31.08
2697134,31.00,31.07
2697634,31.00,31.07
2698134,30.75,31.03
2698634,30.75,31.01
2699134,31.00,31.01
2699634,30.75,30.98
2700134,31.25,31.01
2700634,31.00,31.01
2701134,30.75,30.98
2701634,31.00,30.98
2702134,31.25,31.01
2702634,31.00,31.01
2703134,31.25,31.03
2703634,31.25,31.05
2704134,31.00,31.05
2704634,31.50,31.09
2705134,31.50,31.13
2705634,31.25,31.15
2706134,30.75,31.11
2706634,31.00,31.10
2707134,31.25,31.11
2707634,31.25,31.13
2708134,31.25,31.14
2708634,31.25,31.15
2709134,31.25,31.16
2709634,31.25,31.17
2710134,30.75,31.13
2710634,31.50,31.16
2711134,31.00,31.15
2711634,30.75,31.11
2712134,30.50,31.05
2712634,30.75,31.02
2713134,31.00,31.02
2713634,31.00,31.01
2714134,31.00,31.01
2714634,31.25,31.04
2715134,30.50,30.98
2715634,30.75,30.96
2716134,31.00,30.96
2716634,30.75,30.94
2717134,31.25,30.97
2717634,30.75,30.95
2718134,31.25,30.98
2718634,31.00,30.98
2719134,31.50,31.03
2719634,31.00,31.03
2720134,31.00,31.03
2720634,31.50,31.07
2721134,31.25,31.09
2721634,31.50,31.13
2722134,31.25,31.14
2722634,31.00,31.13
2723134,30.50,31.07
2723634,30.75,31.04
2724134,31.00,31.03
2724634,31.00,31.03
2725134,31.00,31.03
2725634,31.25,31.05
2726134,31.25,31.07
2726634,31.50,31.11
2727134,31.00,31.10
2727634,31.00,31.09
2728134,31.25,31.11
2728634,31.00,31.10
2729134,31.25,31.11
2729634,30.50,31.05
2730134,31.50,31.10
2730634,30.75,31.06
2731134,31.00,31.05
2731634,31.25,31.07
2732134,30.25,30.99
2732634,30.75,30.97
2733134,31.00,30.97
2733634,31.00,30.97
2734134,30.75,30.95
2734634,31.25,30.98
2735134,31.00,30.98
2735634,31.25,31.01
2736134,31.25,31.03
2736634,31.00,31.03
2737134,31.25,31.05
2737634,31.25,31.07
2738134,31.00,31.06
2738634,31.00,31.06
2739134,31.00,31.05
2739634,31.00,31.05
2740134,30.75,31.02
2740634,31.00,31.02
2741134,30.75,30.99
2741634,31.00,30.99
2742134,31.25,31.02
2742634,31.25,31.04
2743134,31.25,31.06
2743634,31.00,31.05
2744134,31.25,31.07
2744634,30.25,30.99
2745134,31.25,31.02
2745634,31.50,31.07
2746134,31.00,31.06
2746634,30.50,31.00
2747134,31.25,31.03
2747634,30.75,31.00
2748134,30.75,30.98
2748634,31.00,30.98
2749134,30.75,30.95
2749634,31.25,30.98
2750134,31.25,31.01
2750634,31.50,31.06
2751134,31.25,31.08
2751634,31.25,31.10
2752134,30.75,31.06
2752634,31.25,31.08
2753134,30.50,31.02
2753634,30.75,30.99
2754134,31.00,31.00
2754634,31.25,31.02
2755134,31.25,31.04
2755634,31.25,31.06
2756134,31.00,31.06
2756634,31.00,31.05
2757134,30.75,31.02
2757634,31.00,31.02
2758134,31.00,31.02
2758634,31.25,31.04
2759134,31.00,31.04
2759634,31.25,31.06
2760134,31.25,31.08
2760634,31.25,31.09
2761134,31.50,31.14
2761634,31.50,31.17
2762134,31.25,31.18
2762634,31.25,31.19
2763134,31.00,31.17
2763634,31.25,31.18
2764134,30.75,31.13
2764634,31.00,31.12
2765134,31.25,31.13
2765634,31.25,31.14
2766134,31.00,31.13
2766634,31.25,31.14
2767134,31.50,31.18
2767634,31.00,31.16
2768134,30.75,31.12
2768634,31.00,31.11
2769134,31.00,31.10
2769634,31.25,31.11
2770134,31.25,31.13
2770634,31.00,31.11
2771134,30.75,31.08
2771634,31.00,31.07
2772134,31.00,31.06
2772634,31.00,31.06
2773134,31.25,31.08
2773634,31.25,31.09
2774134,31.00,31.08
2774634,31.25,31.10
2775134,31.00,31.09
2775634,31.25,31.11
2776134,31.00,31.10
2776634,31.25,31.11
2777134,31.50,31.15
2777634,31.00,31.13
2778134,31.00,31.12
2778634,30.75,31.08
2779134,31.00,31.08
2779634,31.00,31.07
2780134,31.00,31.06
2780634,31.50,31.11
2781134,30.75,31.07
2781634,31.50,31.11
2782134,30.75,31.08
2782634,30.75,31.04
2783134,31.00,31.04
2783634,31.25,31.06
2784134,31.25,31.08
2784634,31.25,31.10
2785134,31.50,31.14
2785634,31.50,31.17
2786134,31.50,31.21
2786634,31.00,31.19
2787134,30.75,31.14
2787634,31.00,31.13
2788134,31.25,31.14
2788634,31.00,31.13
2789134,31.25,31.14
2789634,31.25,31.15
2790134,31.25,31.16
2790634,31.25,31.17
2791134,31.00,31.15
2791634,31.25,31.16
2792134,30.75,31.12
2792634,31.25,31.13
2793134,31.50,31.17
2793634,31.00,31.15
2794134,31.25,31.16
2794634,31.00,31.15
2795134,31.00,31.13
2795634,31.25,31.14
2796134,31.00,31.13
2796634,31.25,31.14
2797134,31.25,31.15
2797634,31.25,31.16
2798134,31.25,31.17
2798634,31.00,31.15
2799134,30.75,31.11
2799634,31.25,31.13
2800134,31.25,31.14
2800634,31.00,31.13
2801134,31.25,31.14
2801634,31.00,31.12
2802134,30.75,31.09
2802634,31.50,31.13
2803134,31.25,31.14
2803634,31.00,31.13
2804134,31.50,31.16
2804634,31.25,31.17
2805134,31.25,31.18
2805634,30.75,31.14
2806134,30.50,31.07
2806634,31.25,31.09
2807134,31.25,31.11
2807634,31.25,31.12
2808134,31.50,31.16
2808634,31.25,31.17
2809134,31.00,31.15
2809634,31.00,31.14
2810134,31.00,31.12
2810634,31.25,31.14
2811134,30.75,31.10
2811634,31.00,31.09
2812134,31.00,31.08
2812634,31.00,31.07
